series_id,year,period,month,value
EIUIR100,2025,M04,April,279.9
EIUIR100,2025,M03,March,287.0
EIUIR100,2025,M02,February,294.7
EIUIR100,2025,M01,January,291.3
EIUIR100,2024,M12,December,283.8
EIUIR100,2024,M11,November,283.7
EIUIR100,2024,M10,October,281.9
EIUIR100,2024,M09,September,286.2
EIUIR100,2024,M08,August,309.2
EIUIR100,2024,M07,July,319.8
EIUIR100,2024,M06,June,319.8
EIUIR100,2024,M05,May,326.2
EIUIR100,2024,M04,April,324.4
EIUIR100,2024,M03,March,310.3
EIUIR100,2024,M02,February,292.1
EIUIR100,2024,M01,January,287.1
EIUIR100,2023,M12,December,281.6
EIUIR100,2023,M11,November,307.3
EIUIR100,2023,M10,October,332.2
EIUIR100,2023,M09,September,346.3
EIUIR100,2023,M08,August,323.5
EIUIR100,2023,M07,July,297.0
EIUIR100,2023,M06,June,294.6
EIUIR100,2023,M05,May,291.0
EIUIR100,2023,M04,April,304.8
EIUIR100,2023,M03,March,287.9
EIUIR100,2023,M02,February,296.9
EIUIR100,2023,M01,January,296.9
EIUIR100,2022,M12,December,318.2
EIUIR100,2022,M11,November,340.8
EIUIR100,2022,M10,October,357.5
EIUIR100,2022,M09,September,363.4
EIUIR100,2022,M08,August,387.9
EIUIR100,2022,M07,July,428.2
EIUIR100,2022,M06,June,456.5
EIUIR100,2022,M05,May,433.2
EIUIR100,2022,M04,April,411.3
EIUIR100,2022,M03,March,410.0
EIUIR100,2022,M02,February,341.6
EIUIR100,2022,M01,January,305.7
EIUIR100,2021,M12,December,285.4
EIUIR100,2021,M11,November,309.1
EIUIR100,2021,M10,October,305.4
EIUIR100,2021,M09,September,276.4
EIUIR100,2021,M08,August,267.0
EIUIR100,2021,M07,July,273.4
EIUIR100,2021,M06,June,267.6
EIUIR100,2021,M05,May,255.3
EIUIR100,2021,M04,April,243.0
EIUIR100,2021,M03,March,237.1
EIUIR100,2021,M02,February,217.9
EIUIR100,2021,M01,January,196.8
EIUIR100,2020,M12,December,179.0
EIUIR100,2020,M11,November,165.0
EIUIR100,2020,M10,October,160.9
EIUIR100,2020,M09,September,161.2
EIUIR100,2020,M08,August,171.7
EIUIR100,2020,M07,July,166.1
EIUIR100,2020,M06,June,142.6
EIUIR100,2020,M05,May,117.1
EIUIR100,2020,M04,April,102.3
EIUIR100,2020,M03,March,151.3
EIUIR100,2020,M02,February,207.5
EIUIR100,2020,M01,January,227.9
EIUIR300,2025,M12,December,113.1
EIUIR300,2025,M11,November,112.7
EIUIR300,2025,M09,September,113.5
EIUIR300,2025,M08,August,113.6
EIUIR300,2025,M07,July,115.0
EIUIR300,2025,M06,June,115.6
EIUIR300,2025,M05,May,115.6
EIUIR300,2025,M04,April,116.8
EIUIR300,2025,M03,March,117.5
EIUIR300,2025,M02,February,117.5
EIUIR300,2025,M01,January,117.2
EIUIR300,2024,M12,December,117.7
EIUIR300,2024,M11,November,117.8
EIUIR300,2024,M10,October,117.8
EIUIR300,2024,M09,September,118.2
EIUIR300,2024,M08,August,118.3
EIUIR300,2024,M07,July,118.3
EIUIR300,2024,M06,June,117.6
EIUIR300,2024,M05,May,117.5
EIUIR300,2024,M04,April,117.6
EIUIR300,2024,M03,March,117.2
EIUIR300,2024,M02,February,117.2
EIUIR300,2024,M01,January,117.2
EIUIR300,2023,M12,December,116.4
EIUIR300,2023,M11,November,116.4
EIUIR300,2023,M10,October,116.4
EIUIR300,2023,M09,September,115.6
EIUIR300,2023,M08,August,115.6
EIUIR300,2023,M07,July,115.6
EIUIR300,2023,M06,June,114.5
EIUIR300,2023,M05,May,114.5
EIUIR300,2023,M04,April,114.5
EIUIR300,2023,M03,March,114.4
EIUIR300,2023,M02,February,114.8
EIUIR300,2023,M01,January,114.8
EIUIR300,2022,M12,December,114.4
EIUIR300,2022,M11,November,114.5
EIUIR300,2022,M10,October,114.4
EIUIR300,2022,M09,September,113.4
EIUIR300,2022,M08,August,113.4
EIUIR300,2022,M07,July,113.4
EIUIR300,2022,M06,June,112.9
EIUIR300,2022,M05,May,112.5
EIUIR300,2022,M04,April,112.1
EIUIR300,2022,M03,March,111.7
EIUIR300,2022,M02,February,111.6
EIUIR300,2022,M01,January,111.4
EIUIR300,2021,M12,December,110.5
EIUIR300,2021,M11,November,110.5
EIUIR300,2021,M10,October,110.3
EIUIR300,2021,M09,September,110.4
EIUIR300,2021,M08,August,110.4
EIUIR300,2021,M07,July,110.4
EIUIR300,2021,M06,June,110.4
EIUIR300,2021,M05,May,110.4
EIUIR300,2021,M04,April,110.4
EIUIR300,2021,M03,March,110.2
EIUIR300,2021,M02,February,110.2
EIUIR300,2021,M01,January,110.2
EIUIR300,2020,M12,December,109.7
EIUIR300,2020,M11,November,109.7
EIUIR300,2020,M10,October,109.9
EIUIR300,2020,M09,September,109.8
EIUIR300,2020,M08,August,109.8
EIUIR300,2020,M07,July,109.8
EIUIR300,2020,M06,June,110.3
EIUIR300,2020,M05,May,110.3
EIUIR300,2020,M04,April,110.3
EIUIR300,2020,M03,March,109.2
EIUIR300,2020,M02,February,109.2
EIUIR300,2020,M01,January,109.2
