document_number,title,publication_date,effective_on,abstract,html_url
2026-04943,Wooden Cabinets and Vanities and Components Thereof From the People's Republic of China: Final Results of Countervailing Duty Administrative Review; 2023,2026-03-13,,"The U.S. Department of Commerce (Commerce) determines that certain producers and exporters of wooden cabinets and vanities and components thereof (wooden cabinets) from the People's Republic of China (China) received countervailable subsidies during the period of review (POR) January 1, 2023, throug",https://www.federalregister.gov/documents/2026/03/13/2026-04943/wooden-cabinets-and-vanities-and-components-thereof-from-the-peoples-republic-of-china-final-results
2026-04946,"Steel Concrete Reinforcing Bar From Bulgaria: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Postponement of Final Determination, and Extension of Provisional Measures",2026-03-13,,"The U.S. Department of Commerce (Commerce) preliminarily determines that steel concrete reinforcing bar (rebar) from Bulgaria is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is April 1, 2024, through March 31, 2025. Interested",https://www.federalregister.gov/documents/2026/03/13/2026-04946/steel-concrete-reinforcing-bar-from-bulgaria-preliminary-affirmative-determination-of-sales-at-less
2026-04945,Certain Fatty Acids From Indonesia and Malaysia: Initiation of Countervailing Duty Investigations,2026-03-13,,,https://www.federalregister.gov/documents/2026/03/13/2026-04945/certain-fatty-acids-from-indonesia-and-malaysia-initiation-of-countervailing-duty-investigations
2026-04947,"Steel Concrete Reinforcing Bar From Egypt: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Postponement of Final Determination, and Extension of Provisional Measures",2026-03-13,,"The U.S. Department of Commerce (Commerce) preliminarily determines that steel concrete reinforcing bar (rebar) from Egypt is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is April 1, 2024, through March 31, 2025. Interested pa",https://www.federalregister.gov/documents/2026/03/13/2026-04947/steel-concrete-reinforcing-bar-from-egypt-preliminary-affirmative-determination-of-sales-at-less
2026-04948,"Steel Concrete Reinforcing Bar From the Socialist Republic of Vietnam: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Postponement of Final Determination and Extension of Provisional Measures",2026-03-13,,"The U.S. Department of Commerce (Commerce) preliminarily determines that steel concrete reinforcing bar (rebar) from the Socialist Republic of Vietnam (Vietnam) is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is October 1, 202",https://www.federalregister.gov/documents/2026/03/13/2026-04948/steel-concrete-reinforcing-bar-from-the-socialist-republic-of-vietnam-preliminary-affirmative
2026-04881,Passenger Vehicle and Light Truck Tires From Taiwan: Notice of Court Decision Not in Harmony With Final Scope Ruling; Notice of Amended Final Scope Ruling Pursuant to Court Decision,2026-03-12,,"On February 20, 2026, the U.S. Court of International Trade (CIT) issued its final judgment in United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC., v. United States, Court No. 24- 00165, sustaining the U.S. Departm",https://www.federalregister.gov/documents/2026/03/12/2026-04881/passenger-vehicle-and-light-truck-tires-from-taiwan-notice-of-court-decision-not-in-harmony-with
2026-04880,Hardwood and Decorative Plywood From the People's Republic of China: Postponement of Final Determination of Sales at Less-Than-Fair-Value Investigation and Extension of Provisional Measures,2026-03-12,,"The U.S. Department of Commerce (Commerce) is postponing the deadline for issuing the final determination in the less-than-fair- value (LTFV) investigation of hardwood and decorative plywood (plywood) from the People's Republic of China (China) until July 15, 2026, and is extending the provisional m",https://www.federalregister.gov/documents/2026/03/12/2026-04880/hardwood-and-decorative-plywood-from-the-peoples-republic-of-china-postponement-of-final
2026-04879,Methionine From Spain: Preliminary Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-12,,"The U.S. Department of Commerce (Commerce) preliminarily determines that the sole mandatory respondent under review, Adisseo Espa[ntilde]a S.A. (Adisseo Espa[ntilde]a), sold subject merchandise at less than normal value during the period of review (POR) September 1, 2023, through August 31, 2024. We",https://www.federalregister.gov/documents/2026/03/12/2026-04879/methionine-from-spain-preliminary-results-of-antidumping-duty-administrative-review-2023-2024
2026-04855,Fresh Winter Strawberries From Mexico; Determination,2026-03-12,,,https://www.federalregister.gov/documents/2026/03/12/2026-04855/fresh-winter-strawberries-from-mexico-determination
2026-04838,Certain Vehicle Parts and Components Thereof; Notice of Institution of Investigation,2026-03-12,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on February 5, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of General Motors LLC of Detroit, Michigan and GM Global Technology Operations LLC of Detroit, Michigan. The complain",https://www.federalregister.gov/documents/2026/03/12/2026-04838/certain-vehicle-parts-and-components-thereof-notice-of-institution-of-investigation
